id,Ime,Slika,GD,GS,Verska zaj,Godina izgradnje,Verske zaj.cirilica
1,Hram Pokrova Presvete Bogorodice,,7460159,4961631,Hriscanska Pravoslavna,1933,Hriscanska Pravoslavna
2,Crkva Svetog Proroka Ilije,,7462984,4961206,Hriscanska Pravoslavna,1834,Hriscanska Pravoslavna
3,Crkva Svetog Nikole,,7459872,4962871,Hriscanska Pravoslavna,1893,Hriscanska Pravoslavna
4,Hram Sv.Vmc. Pantelejmona,,7463734,4960656,Hriscanska Pravoslavna,2005,Hriscanska Pravoslavna
5,Prva baptisticka crkva,,7460848,4961215,Baptisticka,1977,Baptisticka
6,Crkva Svetog Trifuna,,7463334,4958923,Hriscanska Pravoslavna,1995,Hriscanska Pravoslavna
7,Crkva Svete Velikomucenice Nedelje,,7462625,4957000,Hriscanska Pravoslavna,1998,Hriscanska Pravoslavna
8,Crkva Svetog kneza Lazara-Lazarica,,7460436,4962140,Hriscanska Pravoslavna,1936,Hriscanska Pravoslavna
9,Iverska kapela,,7460125,4962594,Ruska Pravoslavna,1931,Ruska Pravoslavna
10,Hram Svetog Save,,7458436,4961643,Hriscanska Pravoslavna,2002,Hriscanska Pravoslavna
11,Crkva Svetog Antuna,,7460126,4961488,Katolicka,1931,Katolicka
12,Katedrala Blazene Djevice Marije,,7458915,4961220,Katolicka,1925,Katolicka
13,Hram Svete Trojice,,7459428,4960956,Hriscanska Pravoslavna,2020,Hriscanska Pravoslavna
14,Hriscanska adventisticka crkva,,7459280,4961717,Hriscanska Adventisicka,1938,Hriscanska Adventisicka
